TWEET_ID,TIMESTAMP,PREDICTED_BREED,NAME,DOG_STAGE,CONFIDENCE_LEVEL,IMAGE_NUMBER,SOURCE,RATING_NUMERATOR,RATING_DENOMINATOR,FAVORITE_COUNT,RETWEET_COUNT,TEXT,JPG_URL,EXPANDED_URLS
666020888022790149,2015-11-15 22:32:08,Welsh_springer_spaniel,None,,0.465074,1,Twitter for iPhone,8,10,2535,532,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,https://twitter.com/dog_rates/status/666020888022790149/photo/1
666029285002620928,2015-11-15 23:05:30,Redbone,None,,0.506826,1,Twitter for iPhone,7,10,132,48,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,https://twitter.com/dog_rates/status/666029285002620928/photo/1
666033412701032449,2015-11-15 23:21:54,German_shepherd,None,,0.596461,1,Twitter for iPhone,9,10,128,47,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,https://twitter.com/dog_rates/status/666033412701032449/photo/1
666044226329800704,2015-11-16 00:04:52,Rhodesian_ridgeback,None,,0.408143,1,Twitter for iPhone,6,10,311,147,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,https://twitter.com/dog_rates/status/666044226329800704/photo/1
666049248165822465,2015-11-16 00:24:50,Miniature_pinscher,None,,0.560311,1,Twitter for iPhone,5,10,111,41,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,https://twitter.com/dog_rates/status/666049248165822465/photo/1
666050758794694657,2015-11-16 00:30:50,Bernese_mountain_dog,None,,0.651137,1,Twitter for iPhone,10,10,136,60,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,https://twitter.com/dog_rates/status/666050758794694657/photo/1
666051853826850816,2015-11-16 00:35:11,Nan,None,,0.0,1,Twitter for iPhone,2,10,1253,879,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,https://twitter.com/dog_rates/status/666051853826850816/photo/1
666055525042405380,2015-11-16 00:49:46,Chow,None,,0.692517,1,Twitter for iPhone,10,10,448,261,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,https://twitter.com/dog_rates/status/666055525042405380/photo/1
666057090499244032,2015-11-16 00:55:59,Golden_retriever,None,,0.00795896,1,Twitter for iPhone,9,10,304,146,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,https://twitter.com/dog_rates/status/666057090499244032/photo/1
666058600524156928,2015-11-16 01:01:59,Miniature_poodle,None,,0.201493,1,Twitter for iPhone,8,10,115,61,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,https://twitter.com/dog_rates/status/666058600524156928/photo/1
666063827256086533,2015-11-16 01:22:45,Golden_retriever,None,,0.77593,1,Twitter for iPhone,10,10,496,232,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,https://twitter.com/dog_rates/status/666063827256086533/photo/1
666071193221509120,2015-11-16 01:52:02,Gordon_setter,None,,0.503672,1,Twitter for iPhone,9,10,154,67,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,https://twitter.com/dog_rates/status/666071193221509120/photo/1
666073100786774016,2015-11-16 01:59:36,Walker_hound,None,,0.260857,1,Twitter for iPhone,10,10,335,174,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,https://twitter.com/dog_rates/status/666073100786774016/photo/1
666082916733198337,2015-11-16 02:38:37,Pug,None,,0.489814,1,Twitter for iPhone,6,10,121,47,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,https://twitter.com/dog_rates/status/666082916733198337/photo/1
666094000022159362,2015-11-16 03:22:39,Bloodhound,None,,0.195217,1,Twitter for iPhone,9,10,169,79,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,https://twitter.com/dog_rates/status/666094000022159362/photo/1
666099513787052032,2015-11-16 03:44:34,Lhasa,None,,0.58233,1,Twitter for iPhone,8,10,164,73,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,https://twitter.com/dog_rates/status/666099513787052032/photo/1
666102155909144576,2015-11-16 03:55:04,English_setter,None,,0.298617,1,Twitter for iPhone,11,10,81,16,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,https://twitter.com/dog_rates/status/666102155909144576/photo/1
666104133288665088,2015-11-16 04:02:55,Nan,None,,0.0,1,Twitter for iPhone,1,10,14765,6871,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,https://twitter.com/dog_rates/status/666104133288665088/photo/1
666268910803644416,2015-11-16 14:57:41,Nan,None,,0.0,1,Twitter for iPhone,10,10,108,37,Very concerned about fellow dog trapped in computer. 10/10,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,https://twitter.com/dog_rates/status/666268910803644416/photo/1
666273097616637952,2015-11-16 15:14:19,Italian_greyhound,None,,0.176053,1,Twitter for iPhone,11,10,184,82,Can take selfies 11/10,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,https://twitter.com/dog_rates/status/666273097616637952/photo/1
666287406224695296,2015-11-16 16:11:11,Maltese_dog,None,,0.8575309999999999,1,Twitter for iPhone,1,2,152,71,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,https://twitter.com/dog_rates/status/666287406224695296/photo/1
666293911632134144,2015-11-16 16:37:02,Nan,None,,0.0,1,Twitter for iPhone,3,10,522,368,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,https://twitter.com/dog_rates/status/666293911632134144/photo/1
666337882303524864,2015-11-16 19:31:45,Newfoundland,None,,0.278407,1,Twitter for iPhone,9,10,204,96,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,https://twitter.com/dog_rates/status/666337882303524864/photo/1
666345417576210432,2015-11-16 20:01:42,Golden_retriever,None,,0.8587440000000001,1,Twitter for iPhone,10,10,307,146,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,https://twitter.com/dog_rates/status/666345417576210432/photo/1
666353288456101888,2015-11-16 20:32:58,Malamute,None,,0.3368739999999999,1,Twitter for iPhone,8,10,229,77,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,https://twitter.com/dog_rates/status/666353288456101888/photo/1
666362758909284353,2015-11-16 21:10:36,Nan,None,,0.0,1,Twitter for iPhone,6,10,804,595,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,https://twitter.com/dog_rates/status/666362758909284353/photo/1
666373753744588802,2015-11-16 21:54:18,Soft-coated_wheaten_terrier,None,,0.326467,1,Twitter for iPhone,11,10,194,100,Those are sunglasses and a jean jacket. 11/10 dog cool af,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,https://twitter.com/dog_rates/status/666373753744588802/photo/1
666396247373291520,2015-11-16 23:23:41,Chihuahua,None,,0.978108,1,Twitter for iPhone,9,10,172,92,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,https://twitter.com/dog_rates/status/666396247373291520/photo/1
